ts_utc,event_ticker,market_ticker,strike,side,count,price_cents,entry_cost,fee,p_yes,p_win_model,implied_q_chosen_side,break_even_prob,edge_prob,expected_pnl,outcome_yes,win,realized_pnl,source_event,skip_reason
2026-02-18T12:06:09.888478+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,17,0.18,0.01,0.23787063864562752,0.23787063864562752,0.17,0.18,0.057870638645627526,0.057870638645627526,,,,skip,state_event_mismatch
2026-02-18T12:06:21.468066+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,15,0.16,0.01,0.7660223935659137,0.23397760643408627,0.15,0.16,0.07397760643408627,0.07397760643408627,,,,skip,state_event_mismatch
2026-02-18T12:06:21.469933+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,19,0.2,0.01,0.2512513448240188,0.2512513448240188,0.19,0.2,0.051251344824018774,0.051251344824018774,,,,skip,state_event_mismatch
2026-02-18T12:06:32.985778+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,12,0.13,0.01,0.8030109810834959,0.1969890189165041,0.12,0.13,0.0669890189165041,0.0669890189165041,,,,skip,state_event_mismatch
2026-02-18T12:06:32.987062+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,23,0.24,0.01,0.29237603365413256,0.29237603365413256,0.23,0.24,0.05237603365413257,0.05237603365413257,,,,skip,state_event_mismatch
2026-02-18T12:06:44.547400+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,11,0.12,0.01,0.8141999713188132,0.18580002868118684,0.11,0.12,0.06580002868118684,0.06580002868118684,,,,skip,state_event_mismatch
2026-02-18T12:06:44.547891+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,24,0.25,0.01,0.30571902316069366,0.30571902316069366,0.24,0.25,0.05571902316069366,0.05571902316069366,,,,skip,state_event_mismatch
2026-02-18T12:07:07.966825+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,7,0.08,0.01,0.863099114106617,0.136900885893383,0.07,0.08,0.056900885893383005,0.056900885893383005,,,,skip,state_event_mismatch
2026-02-18T12:07:10.058161+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67999.99,67999.99,yes,1,9,0.1,0.01,0.15566219621605248,0.15566219621605248,0.09,0.1,0.05566219621605248,0.05566219621605248,,,,skip,state_event_mismatch
2026-02-18T12:07:21.678870+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,7,0.08,0.01,0.8589838198511854,0.14101618014881456,0.07,0.08,0.06101618014881456,0.06101618014881456,,,,skip,state_event_mismatch
2026-02-18T12:07:21.679256+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67499.99,67499.99,no,1,29,0.3,0.01,0.644023444727448,0.355976555272552,0.29,0.3,0.05597655527255202,0.05597655527255202,,,,skip,state_event_mismatch
2026-02-18T12:07:33.186593+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,7,0.08,0.01,0.8623312470447645,0.1376687529552355,0.07,0.08,0.057668752955235505,0.057668752955235505,,,,skip,state_event_mismatch
2026-02-18T12:07:44.750397+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,7,0.08,0.01,0.864350679607339,0.13564932039266098,0.07,0.08,0.055649320392660975,0.055649320392660975,,,,skip,state_event_mismatch
2026-02-18T12:07:56.347342+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,7,0.08,0.01,0.8627259346243539,0.13727406537564613,0.07,0.08,0.057274065375646124,0.057274065375646124,,,,skip,state_event_mismatch
2026-02-18T12:08:08.022143+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,7,0.08,0.01,0.8613564775008195,0.13864352249918055,0.07,0.08,0.05864352249918055,0.05864352249918055,,,,skip,state_event_mismatch
2026-02-18T12:08:19.687230+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,9,0.1,0.01,0.8453029603671736,0.15469703963282644,0.09,0.1,0.05469703963282643,0.05469703963282643,,,,skip,state_event_mismatch
2026-02-18T12:08:19.687730+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,28,0.29,0.01,0.34155987226437834,0.34155987226437834,0.28,0.29,0.05155987226437836,0.05155987226437836,,,,skip,state_event_mismatch
2026-02-18T12:08:31.305026+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,8,0.09,0.01,0.8529665947667302,0.1470334052332698,0.08,0.09,0.0570334052332698,0.0570334052332698,,,,skip,state_event_mismatch
2026-02-18T12:08:42.904826+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,9,0.1,0.01,0.8416007403135,0.15839925968650004,0.09,0.1,0.05839925968650003,0.05839925968650003,,,,skip,state_event_mismatch
2026-02-18T12:08:42.906791+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,27,0.28,0.01,0.3339511249049567,0.3339511249049567,0.27,0.28,0.05395112490495668,0.05395112490495668,,,,skip,state_event_mismatch
2026-02-18T12:08:54.578928+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,11,0.12,0.01,0.8132199179047386,0.18678008209526142,0.11,0.12,0.06678008209526143,0.06678008209526143,,,,skip,state_event_mismatch
2026-02-18T12:08:54.580688+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,22,0.23,0.01,0.29353609395634606,0.29353609395634606,0.22,0.23,0.06353609395634605,0.06353609395634605,,,,skip,state_event_mismatch
2026-02-18T12:09:06.264206+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.8161400167547674,0.18385998324523256,0.1,0.11,0.07385998324523256,0.07385998324523256,,,,skip,state_event_mismatch
2026-02-18T12:09:17.893611+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,18,0.19,0.01,0.26562682070648913,0.26562682070648913,0.18,0.19,0.07562682070648913,0.07562682070648913,,,,skip,state_event_mismatch
2026-02-18T12:09:29.424358+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,13,0.14,0.01,0.7883410849757357,0.21165891502426426,0.13,0.14,0.07165891502426425,0.07165891502426425,,,,skip,state_event_mismatch
2026-02-18T12:09:29.425620+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,20,0.21,0.01,0.26090911791243776,0.26090911791243776,0.2,0.21,0.05090911791243777,0.05090911791243777,,,,skip,state_event_mismatch
2026-02-18T12:09:41.031460+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,20,0.21,0.01,0.2801335166929284,0.2801335166929284,0.2,0.21,0.07013351669292842,0.07013351669292842,,,,skip,state_event_mismatch
2026-02-18T12:09:41.032008+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,12,0.13,0.01,0.805501065949418,0.19449893405058205,0.12,0.13,0.06449893405058205,0.06449893405058205,,,,skip,state_event_mismatch
2026-02-18T12:09:52.708206+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,12,0.13,0.01,0.7980897008047864,0.20191029919521364,0.12,0.13,0.07191029919521363,0.07191029919521363,,,,skip,state_event_mismatch
2026-02-18T12:09:52.709998+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,21,0.22,0.01,0.2703199255840547,0.2703199255840547,0.21,0.22,0.05031992558405471,0.05031992558405471,,,,skip,state_event_mismatch
2026-02-18T12:10:04.444833+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,12,0.13,0.01,0.7996402493781147,0.20035975062188527,0.12,0.13,0.07035975062188526,0.07035975062188526,,,,skip,state_event_mismatch
2026-02-18T12:10:04.446492+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67749.99,67749.99,yes,1,21,0.22,0.01,0.27124124420413187,0.27124124420413187,0.21,0.22,0.05124124420413187,0.05124124420413187,,,,skip,state_event_mismatch
2026-02-18T12:10:16.019348+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,12,0.13,0.01,0.8178978002757132,0.18210219972428676,0.12,0.13,0.05210219972428676,0.05210219972428676,,,,skip,state_event_mismatch
2026-02-18T12:10:27.712827+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,11,0.12,0.01,0.8269487586937642,0.17305124130623584,0.11,0.12,0.05305124130623584,0.05305124130623584,,,,skip,state_event_mismatch
2026-02-18T12:10:39.352320+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.8265701544135108,0.17342984558648922,0.1,0.11,0.06342984558648922,0.06342984558648922,,,,skip,state_event_mismatch
2026-02-18T12:10:50.956613+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.8261276877214629,0.17387231227853706,0.1,0.11,0.06387231227853706,0.06387231227853706,,,,skip,state_event_mismatch
2026-02-18T12:11:02.666858+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,10,0.11,0.01,0.830753765115849,0.16924623488415103,0.1,0.11,0.059246234884151025,0.059246234884151025,,,,skip,state_event_mismatch
2026-02-18T12:12:00.773975+00:00,KXBTCD-26FEB1808,KXBTCD-26FEB1808-T67249.99,67249.99,no,1,6,0.07,0.01,0.8783821834554357,0.12161781654456427,0.06,0.07,0.051617816544564266,0.051617816544564266,,,,skip,state_event_mismatch
